법정구코드,법정동명,아파트 매매 평당거래가격,아파트 전세 평당거래가격,오피스텔 매매 평당거래가격,오피스텔 전세 평당거래가격,연립다세대 매매 평당거래가격,연립다세대 전세 평당거래가격,단독/다가구 매매 평당거래가격,단독/다가구 전세 평당거래가격,상업업무용 부동산 매매 평당거래가격
11680,강남구,7141.99,3327.3,3212.01,2973.52,4009.5,2729.24,4712.68,1525.04,5457.41
11740,강동구,4496.72,2250.17,2390.96,2398.86,2501.19,2277.53,2084.8,1103.99,3369.64
11305,강북구,3000.74,1731.34,1865.91,1600.63,1579.31,1331.41,1732.69,849.57,1889.72
11500,강서구,3606.76,1882.43,2475.56,2404.04,1951.13,2046.15,2049.64,897.98,2544.35
11620,관악구,3360.84,1990.09,2309.09,2606.92,1978.68,2120.49,1987.89,1489.18,2147.45
11215,광진구,4777.6,2513.63,2886.13,2882.87,2517.93,2348.52,2270.62,1279.05,2163.74
11530,구로구,2832.75,1732.48,1785.09,1957.18,1787.38,1757.37,1791.91,922.24,2233.88
11545,금천구,2869.23,1910.09,2563.62,2310.61,2010.84,2184.53,1470.43,964.22,2032.45
11350,노원구,3420.4,1517.47,1397.45,1168.8,1643.07,1271.45,2200.17,943.8,2551.3
11320,도봉구,2736.57,1436.71,2189.85,1821.08,1401.06,1347.09,1418.92,736.51,1815.3
11230,동대문구,3764.87,2242.29,2390.53,2248.15,2670.76,2071.02,3216.93,1114.36,3080.23
11590,동작구,4561.39,2435.41,2764.15,2595.56,2559.81,2010.68,3864.98,1500.89,3595.94
11440,마포구,4860.8,2499.77,2502.76,2537.77,2901.79,2229.75,4108.36,1331.05,3565.82
11410,서대문구,3903.11,2196.69,2642.16,2834.96,1887.88,1510.36,2597.13,1111.78,3448.23
11650,서초구,6922.79,3258.72,2747.47,3007.48,4095.08,2771.67,4384.82,1512.93,4206.06
11200,성동구,5605.17,2693.78,2388.1,2568.82,3103.16,1877.14,3164.6,1242.05,3115.39
11290,성북구,3570.67,2074.88,2324.25,2243.63,2114.39,1831.19,2704.15,1056.22,2485.53
11710,송파구,5886.82,2786.53,2828.45,2993.54,2882.61,2140.76,2411.2,1110.74,3671.52
11470,양천구,4419.33,2157.58,2494.97,2288.17,1859.91,1783.18,1677.47,899.57,2756.11
11560,영등포구,4355.47,2225.02,2753.11,2562.33,2984.68,2673.08,3077.05,1224.25,2838.76
11170,용산구,5785.19,2578.57,3185.3,2670.83,4150.04,2202.23,4892.03,1144.77,5169.41
11380,은평구,3150.15,1804.6,2002.02,2039.24,1962.78,1613.9,2165.66,907.57,2343.59
11110,종로구,3749.91,2556.82,2937.82,2600.68,2125.26,1602.1,3347.98,1294.02,5004.92
11140,중구,4121.83,2652.92,2760.53,2594.73,2560.47,2321.66,4472.39,1199.52,4897.03
11260,중랑구,2948.96,1838,1728.34,2242.51,2083.19,2242.35,1719.64,1012.56,2371.93
28245,계양구,1192.3,965.26,880.49,906.23,766.34,798.68,1049.55,463.89,1122.04
28200,남동구,1422.04,1116.19,955.79,1027.72,801.66,689.91,934.45,511.82,1726.37
28140,동구,1016.75,789.93,1270.64,1119.15,837.14,421.04,1125.34,330.72,1123.6
28177,미추홀구,1093.17,951.33,981.12,865.63,801.22,679.44,1061.88,515.42,1393.46
28237,부평구,1496.96,1192.38,1082.81,1088.54,1027.2,795.25,1518.95,472.41,1781.57
28260,서구,1432.55,1095.61,1257.83,1211.06,842.62,771.49,944.05,635.24,1717.3
28185,연수구,1908.9,1307.81,1508.3,1388.64,737.25,662.86,872.24,475.65,2122.14
28110,중구,1319.1,945.76,976.77,1315.03,643.68,629.35,948.48,624.68,1576.48
28710,강화군,647.97,485.31,1407.29,577.76,500.96,535.4,738,403.67,766.28
28720,옹진군,nan,nan,nan,nan,574.44,501.32,544.27,240.44,611.65
41281,고양시,1922.26,1383.69,2197.97,1712.02,1256.99,889.09,1907.56,919.01,1685.98
41290,과천시,6305.22,2897.11,2116.83,1926.64,3003.79,2418.87,2463.61,1492.03,3348.43
41210,광명시,3363.45,1743.1,2001.34,1639.6,2463.77,1140.69,2013.82,885.59,2750.89
41610,광주시,1499.41,1218.09,1457.36,1037.39,1054.52,909.03,1152.06,684.31,1307.97
41310,구리시,2720.53,1535.08,1788.18,1727.91,1758.33,1108.75,1757.09,829.29,2891.09
41410,군포시,2041.28,1355.84,1438.5,1404.71,1597.32,1087.53,1216.7,748,1760.87
41570,김포시,1647.86,1178.86,1378.64,1331.17,1289.24,1257.17,1167.64,649.35,1682.47
41360,남양주시,1610.34,1139.43,1708.72,1672.2,942.7,737.03,1267.29,922.73,1695.19
41250,동두천시,783.58,672.69,568.09,675.42,472,459.25,772.31,420.62,848.36
41190,부천시,1943.67,1415.98,1304.13,1384.43,1164.23,1142.97,1230.28,645.53,1629.5
41131,성남시 수정구,4005.64,2174.09,2127.27,2020.35,1557.42,1122.99,1848.25,858.46,2327.49
41133,성남시 중원구,3075.82,1643.19,2061.71,2099.71,1604.66,1044.28,1623.77,801.52,2087.24
41135,성남시 분당구,4669.41,2281.78,2257.11,2234.87,2729.26,1857.26,2224.58,1220.54,2664.05
41111,수원시 장안구,1874.79,1289.91,1033.37,1062.9,1041.84,956.77,1062.27,681,1564.76
41113,수원시 권선구,1851.18,1287.8,1402.28,1254.32,1084.86,1171.46,1125.18,601.22,1834.7
41115,수원시 팔달구,2094.46,1373.84,951.8,1090.12,1130.19,1414.41,1282.4,690.34,1388.96
41117,수원시 영통구,2582.51,1605.3,2387.78,2045.84,2064.92,1271.39,955.6,965.57,2175.24
41390,시흥시,1448.08,1057.91,1000.32,1070.26,890.79,757.48,1261.25,529.5,1517.28
41271,안산시 상록구,1395.51,1021.51,1413.13,1281.03,845.85,760.91,733.19,495.86,1359.7
41273,안산시 단원구,1713.55,1127.07,1187.29,1252.89,1096.88,734.04,789.59,511.33,1710.07
41550,안성시,759.55,620.12,286.75,433.23,467.12,553.14,697.93,477.94,885.59
41171,안양시 만안구,2351.59,1595.82,1364.91,1664.86,1569.33,1262.59,1452.49,746.09,1991.59
41173,안양시 동안구,2910.58,1756.34,1745.5,1659.59,2210.4,1293.61,1423.48,988.62,2000.32
41630,양주시,1019.14,846.07,1214.61,1202.39,589.16,581.8,912.55,491.39,1452.01
41370,오산시,1192.16,964.93,1281.31,933.6,766.97,879.08,1243.04,617.83,1863.44
41465,용인시,2742.65,1768.05,1881.43,1944.49,1955.56,1615.98,1759.73,1030.55,1903.22
41430,의왕시,2482.09,1574.27,1436.69,1361.76,2147.53,1276.44,2518.89,1113.08,2481.6
41150,의정부시,1366.97,1161.15,1112.64,1041.45,956.82,769.49,1163.62,518.74,1610.84
41500,이천시,941.16,883.23,1161.5,1181.58,743.61,773.16,742.15,712.29,1277.27
41480,파주시,1203.86,1029.54,1317.48,1592.42,1005.39,1048.24,968.39,741.3,1289.94
41220,평택시,1128.94,837.1,964.69,807.6,703.47,704.54,819.27,551.05,1827.91
41650,포천시,708.3,592.28,1026.21,nan,560.29,461.04,642.38,335.57,792.72
41450,하남시,3668.37,2028.08,2425.09,2013.37,1673.03,1249.38,1650.33,1098.79,2877.51
41590,화성시,1950.57,1186.2,1310.53,1392.93,781.37,1093.34,1020.84,690.37,1426.25
41670,여주시,753.47,642.69,587.07,479.77,697.13,570.85,725.15,495.27,788.18
41820,가평군,814.75,645.2,336.1,nan,636.42,665.28,758.98,416.45,1706.53
41830,양평군,1143.19,945.23,1116.41,1019.45,821.72,796.87,914.03,592.52,1211.18
41800,연천군,562.62,383.71,nan,674.14,448.43,392.67,573.38,397.88,554.28
